kabupaten,kecamatan,x1_banjir,x2_angin,x3_gempa,x4_longsor,x5_kebakaran,latitude,longitude,cluster
kabupaten bandung,arjasari,0.0598006644518272,0.1666666666666666,0.0072046109510086,0.1849710982658959,0.1794871794871795,-7.0583258,107.6509845,0
kabupaten bandung,baleendah,0.0299003322259136,0.1111111111111111,0.0072046109510086,0.0,0.0,-6.999963,107.620874,0
kabupaten bandung,banjaran,0.0764119601328903,0.1666666666666666,0.0,0.0809248554913294,0.0,-7.0481094,107.5923258,0
kabupaten bandung,bojongsoang,0.0564784053156146,0.0185185185185185,0.0043227665706051,0.0,0.0512820512820512,-6.9816369,107.6365711,0
kabupaten bandung,cangkuang,0.0332225913621262,0.0185185185185185,0.0086455331412103,0.0231213872832369,0.0,-7.0415945,107.5530434,0
kabupaten bandung,cicalengka,0.0365448504983388,0.0925925925925925,0.0259365994236311,0.0982658959537572,0.1538461538461538,-6.9877273,107.8397798,0
kabupaten bandung,cikancung,0.0697674418604651,0.0185185185185185,0.0043227665706051,0.0346820809248554,0.1025641025641025,-7.0126297,107.8265136,0
kabupaten bandung,cilengkrang,0.0,0.0555555555555555,0.0100864553314121,0.0578034682080924,0.0,-6.9049243,107.6941319,0
kabupaten bandung,cileunyi,0.0697674418604651,0.074074074074074,0.0072046109510086,0.1156069364161849,0.0,-6.9411936,107.7434564,0
kabupaten bandung,cimaung,0.0,0.1111111111111111,0.0043227665706051,0.1098265895953757,0.1025641025641025,-7.0869685,107.5627557,0
kabupaten bandung,cimenyan,0.0,0.0925925925925925,0.0,0.1098265895953757,0.0,-6.8799677,107.6638481,0
kabupaten bandung,ciparay,0.0299003322259136,0.2407407407407407,0.0028818443804034,0.0346820809248554,0.0769230769230769,-7.0360562,107.7135582,0
kabupaten bandung,ciwidey,0.0099667774086378,0.074074074074074,0.0043227665706051,0.1098265895953757,0.1538461538461538,-7.1027234,107.4641673,0
kabupaten bandung,dayeuhkolot,0.1960132890365448,0.0,0.0,0.0,0.0,-6.9862119,107.6265321,0
kabupaten bandung,ibun,0.0,0.074074074074074,0.0,0.1040462427745664,0.4871794871794871,-7.1028124,107.7645427,0
kabupaten bandung,katapang,0.2026578073089701,0.074074074074074,0.0144092219020172,0.0,0.0,-7.0099447,107.5507035,0
kabupaten bandung,kertasari,0.0199335548172757,0.0555555555555555,0.0965417867435158,0.1329479768786127,0.0,-7.1968665,107.6708811,0
kabupaten bandung,kutawaringin,0.0232558139534883,0.0555555555555555,0.0201729106628242,0.2312138728323699,0.2307692307692307,-6.9945519,107.5190911,0
kabupaten bandung,majalaya,0.0332225913621262,0.074074074074074,0.0,0.0115606936416184,0.0,-7.049328,107.7615285,0
kabupaten bandung,margaasih,0.0431893687707641,0.0,0.0014409221902017,0.0057803468208092,0.0256410256410256,-6.9982889,107.8487522,0
kabupaten bandung,margahayu,0.0564784053156146,0.0185185185185185,0.0057636887608069,0.0,0.0,-6.9716176,107.584734,0
kabupaten bandung,nagreg,0.0066445182724252,0.0555555555555555,0.0072046109510086,0.0462427745664739,0.1538461538461538,-7.0201682,107.8865797,0
kabupaten bandung,pacet,0.0,0.2222222222222222,0.0965417867435158,0.4104046242774566,0.8205128205128205,-7.1041292,107.704457,-1
kabupaten bandung,pameungpeuk,0.0132890365448504,0.074074074074074,0.0086455331412103,0.0,0.0,-7.0193702,107.5961709,0
kabupaten bandung,pangalengan,0.0199335548172757,0.1666666666666666,0.1311239193083573,0.1849710982658959,0.0,-7.1767287,107.5753393,0
kabupaten bandung,paseh,0.0863787375415282,0.037037037037037,0.0072046109510086,0.1560693641618497,0.3076923076923077,-7.0324835,107.7939141,0
kabupaten bandung,pasirjambu,0.0066445182724252,0.0185185185185185,0.0345821325648414,0.1849710982658959,0.0512820512820512,-7.0888583,107.4800032,0
kabupaten bandung,rancabali,0.0,0.0185185185185185,0.0043227665706051,0.0289017341040462,0.0256410256410256,-7.1539613,107.3710249,0
kabupaten bandung,rancaekek,0.4019933554817276,0.4629629629629629,0.0331412103746397,0.0,0.0,-6.9587288,107.7592626,0
kabupaten bandung,solokanjeruk,0.1096345514950166,0.1666666666666666,0.0,0.0,0.0,-7.0111055,107.7490715,0
kabupaten bandung,soreang,0.0099667774086378,0.1851851851851851,0.015850144092219,0.0982658959537572,0.0769230769230769,-7.033831,107.52945,0
kabupaten bandung barat,batujajar,0.0730897009966777,0.2592592592592592,0.015850144092219,0.0809248554913294,0.0,-6.9183485,107.4914121,0
kabupaten bandung barat,cihampelas,0.0099667774086378,0.1851851851851851,0.0115273775216138,0.1098265895953757,0.0769230769230769,-6.9255721,107.4796781,0
kabupaten bandung barat,cikalongwetan,0.0,0.074074074074074,0.047550432276657,0.2312138728323699,0.0256410256410256,-6.734928,107.438082,0
kabupaten bandung barat,cililin,0.0,0.1481481481481481,0.0086455331412103,0.1156069364161849,0.0256410256410256,-6.9507949,107.4578845,0
kabupaten bandung barat,cipatat,0.0199335548172757,0.2962962962962963,0.0302593659942363,0.1560693641618497,0.2307692307692307,-6.8262046,107.3810059,0
kabupaten bandung barat,cipeundeuy,0.0033222591362126,0.0925925925925925,0.0057636887608069,0.0404624277456647,0.0769230769230769,-6.7387434,107.3628886,0
kabupaten bandung barat,cipongkor,0.0066445182724252,0.0925925925925925,0.015850144092219,0.1618497109826589,0.2564102564102564,-6.95208,107.364403,0
kabupaten bandung barat,cisarua,0.0,0.074074074074074,0.0043227665706051,0.1329479768786127,0.0512820512820512,-6.7972652,107.5733982,0
